2011-03-15 03:05:08 NOTICE [job.init(97)] starting job 4
2011-03-15 03:05:08 INFO   [job.init(98)] job persistent data and logs will be in './.fstransform/job.4'
2011-03-15 03:05:08 DEBUG  [io/io_posix.open(120)] device length is 2.00 megabytes
2011-03-15 03:05:08 INFO   [transform.run(398)] analyzing device '/dev/loop0', this may take some minutes ...
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_linux_fiemap_ioctl(149)] ioctl(5, FS_IOC_FIEMAP, extents[0]) failed (Operation not supported), falling back on ioctl(FIBMAP) ...
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_posix_fibmap(121)] ioctl(5, FIBMAP) succeeded
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_linux_fiemap_ioctl(149)] ioctl(6, FS_IOC_FIEMAP, extents[0]) failed (Operation not supported), falling back on ioctl(FIBMAP) ...
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_posix_fibmap(121)] ioctl(6, FIBMAP) succeeded
2011-03-15 03:05:08 DEBUG  [io/io.read_extents(76)] device effective block size = 1024
2011-03-15 03:05:08 DEBUG  [dispatch.main(29)] using reduced (32 bit) relocation algorithm: lower memory usage
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #  104 extents in loop-file
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	           0	           0	      48	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       1	          52	          52	       2	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       2	         118	         118	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       3	         178	         178	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       4	         185	         185	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       5	         193	         193	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       6	         200	         200	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       7	         208	         208	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       8	         217	         217	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       9	        1777	        1777	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      10	        2034	        2034	       2	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #    1 extent  in loop-holes (initial)
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	        1649	        1649	     335	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #    1 extent  in device (invariant)
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	        1777	        1777	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #    2 extents in loop-holes after device (invariant)
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	        1649	        1649	     128	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       1	        1778	        1778	     206	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #   10 extents in device (renumbered)
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	           0	        1649	      48	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       1	          52	        1697	       2	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       2	         118	        1699	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       3	         178	        1700	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       4	         185	        1701	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       5	         193	        1702	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       6	         200	        1703	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       7	         208	        1704	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       8	         217	        1705	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       9	        2034	        1706	       2	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #    2 extents in loop-holes (final)
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	        1708	        1708	      69	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       1	        1778	        1778	     206	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(62)] #   no extents in loop-file (invariant)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #  114 extents in device + loop-file (merged)
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	           0	        1649	      48	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       1	          48	           1	       3	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       2	          51	           0	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       3	          52	        1697	       2	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       4	          54	        1984	      64	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       5	         118	        1699	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       6	         119	          12	      32	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       7	         151	          45	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       8	         152	          44	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       9	         153	          46	      11	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      10	         164	           4	       3	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      11	         167	          10	       2	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      12	         169	           7	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      13	         170	          57	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      14	         171	           9	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      15	         172	           8	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      16	         173	          73	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      17	         174	         127	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      18	         175	         165	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      19	         176	         210	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      20	         177	         246	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      21	         178	        1700	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      22	         179	         277	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      23	         180	         339	       1	(1)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      24	         181	         376	       1	(1)
